"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"325","California State University: San Bernardino","California","CA","Public","4 Year",12711,6656,19367,13064,25775
"326","California State University: San Marcos","California","CA","Public","4 Year",13227,7648,20875,19166,32393
"327","California State University: Stanislaus","California","CA","Public","4 Year",10542,7076,17618,20290,30832
"328","California University of Management and Sciences","California","CA","Private","4 Year",NA,10410,10410,10410,10410
"329","California University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10186,11108,21294,14966,25152
"330","Calumet College of St. Joseph","Indiana","IN","Private","4 Year",NA,19870,19870,19870,19870
"331","Calvary University","Missouri","MO","Private","4 Year",5492,11164,16656,11164,16656
"332","Calvin College","Michigan","MI","Private","4 Year",10200,34600,44800,34600,44800
"333","Cambridge College","Massachusetts","MA","Private","4 Year",NA,13040,13040,13040,13040
"334","Camden County College","New Jersey","NJ","Public","2 Year",NA,4320,4320,4440,4440
"335","Cameron University","Oklahoma","OK","Public","4 Year",5452,6450,11902,15870,21322
"336","Campbell University","North Carolina","NC","Private","4 Year",11430,32500,43930,32500,43930
"337","Campbellsville University","Kentucky","KY","Private","4 Year",8000,25400,33400,25400,33400
"338","Canada College","California","CA","Public","2 Year",NA,1440,1440,8670,8670
"339","Canisius College","New York","NY","Private","4 Year",11300,28488,39788,28488,39788
"340","Cankdeska Cikana Community College","North Dakota","ND","Public","2 Year",NA,4050,4050,4050,4050
"341","Cape Cod Community College","Massachusetts","MA","Public","2 Year",NA,6330,6330,12510,12510
"342","Cape Fear Community College","North Carolina","NC","Public","2 Year",NA,2590,2590,8350,8350
"343","Capella University","Minnesota","MN","For Profit","4 Year",NA,13788,13788,13788,13788
"344","Capital Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13172,13172
"345","Capital University","Ohio","OH","Private","4 Year",10842,35466,46308,35466,46308
"346","Capitol Technology University","Maryland","MD","Private","4 Year",5708,25428,31136,25428,31136
"347","Cardinal Stritch University","Wisconsin","WI","Private","4 Year",8440,29998,38438,29998,38438
"348","Career College of Northern Nevada","Nevada","NV","For Profit","2 Year",NA,11250,11250,11250,11250
"349","Careers Unlimited","Utah","UT","For Profit","2 Year",NA,22841,22841,22841,22841
"350","Caribbean University",NA,"PR","Private","4 Year",NA,6570,6570,6570,6570
"351","Carl Albert State College","Oklahoma","OK","Public","2 Year",4000,3818,7818,7943,11943
"352","Carl Sandburg College","Illinois","IL","Public","2 Year",NA,5000,5000,8330,8330
"353","Carleton College","Minnesota","MN","Private","4 Year",14085,54759,68844,54759,68844
"354","Carlos Albizu University","Florida","FL","Private","4 Year",NA,10234,10234,10234,10234
"355","Carlos Albizu University: San Juan",NA,"PR","Private","4 Year",NA,5912,5912,5912,5912
"356","Carlow University","Pennsylvania","PA","Private","4 Year",11442,29454,40896,29454,40896
"357","Carnegie Mellon University","Pennsylvania","PA","Private","4 Year",14418,55465,69883,55465,69883
"358","Carolina Christian College","North Carolina","NC","Private","4 Year",NA,8300,8300,8300,8300
"359","Carroll College","Montana","MT","Private","4 Year",9880,35486,45366,35486,45366
"360","Carroll Community College","Maryland","MD","Public","2 Year",NA,5160,5160,10448,10448
"361","Carroll University","Wisconsin","WI","Private","4 Year",9484,31918,41402,31918,41402
"362","Carson-Newman University","Tennessee","TN","Private","4 Year",8810,27900,36710,27900,36710
"363","Carteret Community College","North Carolina","NC","Public","2 Year",NA,2372,2372,8132,8132
"364","Carthage College","Wisconsin","WI","Private","4 Year",11990,43550,55540,43550,55540
"365","Carver College","Georgia","GA","Private","4 Year",6600,13475,20075,13475,20075
"366","Cascadia College","Washington","WA","Public","2 Year",NA,4447,4447,9878,9878
"367","Case Western Reserve University","Ohio","OH","Private","4 Year",15190,49042,64232,49042,64232
"368","Casper College","Wyoming","WY","Public","2 Year",6880,3072,9952,7584,14464
"369","Castleton University","Vermont","VT","Public","4 Year",10598,12314,22912,28322,38920
"370","Catawba College","North Carolina","NC","Private","4 Year",10488,30520,41008,30520,41008
"371","Catawba Valley Community College","North Carolina","NC","Public","2 Year",NA,2400,2400,8160,8160
"372","Catholic Distance University","West Virginia","WV","Private","4 Year",NA,10050,10050,10050,10050
"373","Catholic University of America",NA,"DC","Private","4 Year",14650,45804,60454,45804,60454
"374","Cayuga Community College","New York","NY","Public","2 Year",NA,5290,5290,9948,9948
"375","Cazenovia College","New York","NY","Private","4 Year",14596,34630,49226,34630,49226
"376","Cecil College","Maryland","MD","Public","2 Year",NA,4305,4305,9015,9015
"377","Cedar Crest College","Pennsylvania","PA","Private","4 Year",11544,39216,50760,39216,50760
"378","Cedar Valley College","Texas","TX","Public","2 Year",NA,1770,1770,5220,5220
"379","Cedarville University","Ohio","OH","Private","4 Year",7360,30270,37630,30270,37630
"380","Centenary College of Louisiana","Louisiana","LA","Private","4 Year",13400,36580,49980,36580,49980
"381","Centenary University","New Jersey","NJ","Private","4 Year",11444,32998,44442,32998,44442
"382","Central Alabama Community College","Alabama","AL","Public","2 Year",NA,4740,4740,8610,8610
"383","Central Arizona College","Arizona","AZ","Public","2 Year",7700,2580,10280,11100,18800
"384","Central Baptist College","Arkansas","AR","Private","4 Year",7500,16200,23700,16200,23700
"385","Central Carolina Community College","North Carolina","NC","Public","2 Year",NA,2392,2392,8152,8152
"386","Central Carolina Technical College","South Carolina","SC","Public","2 Year",NA,5760,5760,9630,9630
"387","Central Christian College of Kansas","Kansas","KS","Private","4 Year",8286,26674,34960,26674,34960
"388","Central College","Iowa","IA","Private","4 Year",10280,37295,47575,37295,47575
"389","Central Community College","Nebraska","NE","Public","2 Year",7106,3000,10106,4320,11426
"390","Central Connecticut State University","Connecticut","CT","Public","4 Year",12176,10616,22792,21856,34032
"391","Central Georgia Technical College","Georgia","GA","Public","2 Year",NA,3308,3308,5978,5978
"392","Central Lakes College","Minnesota","MN","Public","2 Year",4000,5492,9492,5492,9492
"393","Central Maine Community College","Maine","ME","Public","2 Year",9340,3720,13060,6540,15880
"394","Central Methodist University","Missouri","MO","Private","4 Year",7940,24420,32360,24420,32360
"395","Central Michigan University","Michigan","MI","Public","4 Year",10076,12960,23036,12960,23036
"396","Central New Mexico Community College","New Mexico","NM","Public","2 Year",NA,1626,1626,7338,7338
"397","Central Ohio Technical College","Ohio","OH","Public","2 Year",NA,4536,4536,7296,7296
"398","Central Oregon Community College","Oregon","OR","Public","2 Year",10770,4938,15708,13218,23988
"399","Central Penn College","Pennsylvania","PA","For Profit","4 Year",8094,18714,26808,18714,26808
"400","Central Piedmont Community College","North Carolina","NC","Public","2 Year",NA,2792,2792,8936,8936
"401","Central State University","Ohio","OH","Public","4 Year",10232,6346,16578,8346,18578
"402","Central Texas College","Texas","TX","Public","2 Year",5040,2700,7740,7050,12090
"403","Central Virginia Community College","Virginia","VA","Public","2 Year",NA,4838,4838,10766,10766
"404","Central Washington University","Washington","WA","Public","4 Year",11115,8072,19187,23053,34168
"405","Central Wyoming College","Wyoming","WY","Public","2 Year",6681,3120,9801,7632,14313
"406","Central Yeshiva Tomchei Tmimim-Lubavitch","New York","NY","Private","4 Year",3500,7700,11200,7700,11200
"407","Centralia College","Washington","WA","Public","2 Year",NA,4438,4438,4873,4873
"408","Centre College","Kentucky","KY","Private","4 Year",10480,41700,52180,41700,52180
"409","Century College","Minnesota","MN","Public","2 Year",NA,5417,5417,5417,5417
"410","Cerritos College","California","CA","Public","2 Year",NA,1438,1438,9688,9688
"411","Cerro Coso Community College","California","CA","Public","2 Year",NA,1382,1382,7802,7802
"412","Chabot College","California","CA","Public","2 Year",NA,1414,1414,9664,9664
"413","Chadron State College","Nebraska","NE","Public","4 Year",7380,7196,14576,7196,14576
"414","Chaffey College","California","CA","Public","2 Year",NA,1414,1414,9454,9454
"415","Chamberlain College Of Nursing: Tinley Park","Illinois","IL","For Profit","4 Year",NA,20850,20850,20850,20850
"416","Chaminade University of Honolulu","Hawaii","HI","Private","4 Year",13630,25374,39004,25374,39004
"417","Champlain College","Vermont","VT","Private","4 Year",15354,41010,56364,41010,56364
"418","Chandler-Gilbert Community College","Arizona","AZ","Public","2 Year",NA,2580,2580,9810,9810
"419","Chapman University","California","CA","Private","4 Year",15828,52724,68552,52724,68552
"420","Charles R Drew University of Medicine and Science","California","CA","Private","4 Year",NA,17440,17440,17440,17440
"421","Charleston Southern University","South Carolina","SC","Private","4 Year",10200,25500,35700,25500,35700
"422","Charlotte Christian College and Theological Seminary","North Carolina","NC","Private","4 Year",NA,10688,10688,10688,10688
"423","Charter Oak State College","Connecticut","CT","Public","4 Year",NA,10161,10161,13101,13101
"424","Chatfield College","Ohio","OH","Private","2 Year",NA,12184,12184,12184,12184
"425","Chatham University","Pennsylvania","PA","Private","4 Year",12090,37611,49701,37611,49701
"426","Chattahoochee Technical College","Georgia","GA","Public","2 Year",NA,3350,3350,6020,6020
"427","Chattahoochee Valley Community College","Alabama","AL","Public","2 Year",NA,4560,4560,8670,8670
"428","Chattanooga State Community College","Tennessee","TN","Public","2 Year",NA,4778,4778,17684,17684
"429","Chemeketa Community College","Oregon","OR","Public","2 Year",NA,4725,4725,12960,12960
"430","Chesapeake College","Maryland","MD","Public","2 Year",NA,4760,4760,9110,9110
"431","Chestnut Hill College","Pennsylvania","PA","Private","4 Year",11000,36180,47180,36180,47180
"432","Cheyney University of Pennsylvania","Pennsylvania","PA","Public","4 Year",11018,9479,20497,14495,25513
"433","Chicago State University","Illinois","IL","Public","4 Year",8724,12177,20901,20877,29601
"434","Chief Dull Knife College","Montana","MT","Public","2 Year",NA,2260,2260,2260,2260
"435","Chipola College","Florida","FL","Public","2 Year",NA,3160,3160,8990,8990
"436","Chippewa Valley Technical College","Wisconsin","WI","Public","2 Year",NA,4364,4364,6377,6377
"437","Chowan University","North Carolina","NC","Private","4 Year",9400,24980,34380,24980,34380
"438","Christendom College","Virginia","VA","Private","4 Year",10280,26360,36640,26360,36640
"439","Christian Brothers University","Tennessee","TN","Private","4 Year",7400,32820,40220,32820,40220
"440","Christopher Newport University","Virginia","VA","Public","4 Year",11460,14754,26214,27220,38680
"441","Cincinnati Christian University","Ohio","OH","Private","4 Year",8360,17528,25888,17528,25888
"442","Cincinnati College of Mortuary Science","Ohio","OH","Private","2 Year",NA,20475,20475,20475,20475
"443","Cincinnati State Technical and Community College","Ohio","OH","Public","2 Year",NA,5242,5242,10001,10001
"444","Cisco College","Texas","TX","Public","2 Year",4355,2940,7295,5070,9425
"445","Citrus College","California","CA","Public","2 Year",NA,1450,1450,9520,9520
"446","City College of San Francisco","California","CA","Public","2 Year",NA,1414,1414,8644,8644
"447","City Colleges of Chicago: Harold Washington College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"448","City Colleges of Chicago: Harry S. Truman College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"449","City Colleges of Chicago: Kennedy-King College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"450","City Colleges of Chicago: Malcolm X College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"451","City Colleges of Chicago: Olive-Harvey College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"452","City Colleges of Chicago: Richard J. Daley College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"453","City Colleges of Chicago: Wilbur Wright College","Illinois","IL","Public","2 Year",NA,3504,3504,11544,11544
"454","City University of New York: Baruch College","New York","NY","Public","4 Year",15178,7261,22439,18531,33709
"455","City University of New York: Borough of Manhattan Community College","New York","NY","Public","2 Year",NA,5169,5169,9969,9969
"456","City University of New York: Bronx Community College","New York","NY","Public","2 Year",NA,5205,5205,10005,10005
"457","City University of New York: Brooklyn College","New York","NY","Public","4 Year",NA,7240,7240,18510,18510
"458","City University of New York: City College","New York","NY","Public","4 Year",18124,7140,25264,18410,36534
"459","City University of New York: College of Staten Island","New York","NY","Public","4 Year",18265,7289,25554,18559,36824
"460","City University of New York: Guttman Community College","New York","NY","Public","2 Year",NA,5193,5193,9993,9993
"461","City University of New York: Hostos Community College","New York","NY","Public","2 Year",NA,5206,5206,10006,10006
